m/GeV, Lambda/GeV, m/Lambda, Alpha(m), RPocket/Lambda, Yfo, Ysqo, xGBfo, TMReq/GeV, Gamma_GB/GeV, dilution_factor, Omegah2
81113.08307896873,811.1308307896873,100.00000000000001,0.12403421398562192,3.629629360810227e8,4.75294083805423e-12,2.251659193227264e-20,15.839642227605493,0.11948745924812787,1.4036315759962345e-13,0.9999994869386223,7.311197051295061e-7
93260.334688322,932.60334688322,100.0,0.12403421398562192,3.201229606646548e8,5.4515829634743155e-12,2.911393765050519e-20,15.742696728536066,0.13822755488367985,1.6066010338732127e-13,0.9999993040308343,1.0869079385114437e-6
107226.72220103232,1072.2672220103232,100.0,0.12403421398562192,2.8233932381963164e8,6.252816861525446e-12,3.7642022655966895e-20,15.645912574531783,0.1599112125572064,1.8389390188646156e-13,0.999999053969626,1.6157371732854574e-6
123284.67394420659,1232.8467394420659,100.0,0.12403421398562192,2.4901523342598614e8,7.171691427388945e-12,4.8664649807228816e-20,15.549067051416852,0.1850041795124527,2.1048975717286977e-13,0.9999987108904889,2.401691822161674e-6
141747.4162926805,1417.4741629268049,100.0,0.12403421398562192,2.1962433584990677e8,8.225460483578029e-12,6.292060659358066e-20,15.452214485939407,0.21404308854924653,2.4093447136198426e-13,0.9999982385726527,3.5702812824149276e-6
162975.08346206436,1629.7508346206434,100.00000000000001,0.12403421398562192,1.9370240219399798e8,9.433905434621487e-12,8.135359176124959e-20,15.355407332511854,0.24764904408602945,2.757853731716148e-13,0.9999975863642386,5.30752491324168e-6
187381.7422860385,1873.817422860385,100.0,0.12403421398562192,1.7083999580705503e8,1.0819705071990683e-11,1.0518573977636863e-19,15.258646100509099,0.2865418481129213,3.156805413747084e-13,0.9999966838645833,7.890015274321739e-6
215443.46900318845,2154.4346900318847,100.0,0.12403421398562192,1.5067600523675364e8,1.2408859408978523e-11,1.35996271054567e-19,15.161931307661133,0.3315550093675056,3.613505110360565e-13,0.9999954342840763,1.1728797727181975e-5
247707.63559917113,2477.0763559917114,100.0,0.12403421398562192,1.3289194047831194e8,1.4231175427326755e-11,1.7582755301668854e-19,15.065326545811445,0.3836521440854048,4.136316777049656e-13,0.999993706390725,1.7434871002163717e-5
284803.5868435802,2848.035868435802,99.99999999999999,0.12403421398562195,1.1720690242843933e8,1.6320823765320736e-11,2.273287661627357e-19,14.968751260909942,0.44395266582486,4.734816459760833e-13,0.9999913242184992,2.5917387805531556e-5
327454.9162877729,3274.5491628777286,100.00000000000001,0.12403421398562192,1.033731460871524e8,1.871697669158289e-11,2.9391340136699533e-19,14.872178924092188,0.5137522048638046,5.419968046086734e-13,0.9999880536615391,3.852661574130226e-5
376493.58067924675,3764.9358067924672,100.0,0.12403421398562192,9.117216742828003e7,2.1464539214570892e-11,3.799972955159532e-19,14.775655183925798,0.5945489459855554,6.204324513700827e-13,0.9999835829085861,5.726985680970913e-5
432876.1281083057,4328.761281083057,100.0,0.12403421398562192,8.041125213082215e7,2.4614986902222207e-11,4.912897542860925e-19,14.679182043511178,0.6880794147286037,7.102258376973517e-13,0.9999774930932869,8.513079997337253e-5
497702.35643321084,4977.023564332108,100.0,0.12403421398562192,7.092043165841225e7,2.822732596085583e-11,6.351714275696705e-19,14.582763973703575,0.7963548614229012,8.130225570170319e-13,0.9999692181420214,0.00012654425336030222
572236.765935022,5722.3676593502205,100.0,0.12403421398562192,6.2549798608192496e7,3.236919338418185e-11,8.211834817699613e-19,14.486391993772957,0.9217057781461401,9.307067621183536e-13,0.9999579943987746,0.000188101762547593
657933.2246575683,6579.332246575683,100.0,0.12403421398562192,5.5167138925068356e7,3.711811757288055e-11,1.061659913949691e-18,14.390068353304834,1.066831293993418,1.0654357674739828e-12,0.9999427991498123,0.00027960024059633313
